Primary Energy Consumed by the Residential Sector,Total Energy Consumed by the Residential Sector,Primary Energy Consumed by the Commercial Sector,Total Energy Consumed by the Commercial Sector,Primary Energy Consumed by the Industrial Sector,Total Energy Consumed by the Industrial Sector,Primary Energy Consumed by the Transportation Sector,Total Energy Consumed by the Transportation Sector,Primary Energy Consumed by the Electric Power Sector
295.425,1323.485,217.878,1136.629,1829.653,2805.905,2007.555,2012.597,2928.105
301.791,1214.831,219.284,1034.172,1740.981,2605.634,1755.875,1760.284,2596.99
394.7,1160.903,255.64,1030.22,1823.578,2725.602,1891.545,1895.895,2447.157
560.225,1291.366,335.122,1054.842,1740.043,2594.291,1833.534,1837.581,2309.155
839.803,1751.413,461.071,1241.668,1789.906,2681.595,1865.77,1870.028,2588.154
1081.775,2137.647,571.965,1366.764,1896.933,2754.415,1815.397,1819.779,2712.536
856.738,1686.339,469.163,1152.726,1598.574,2369.565,1656.087,1659.908,2287.976
765.787,1599.772,418.815,1153.489,1682.692,2527.697,1862.147,1866.298,2417.813
543.492,1269.986,318.908,1026.76,1621.63,2457.714,1783.814,1787.944,2274.56
391.816,1183.085,241.236,1055.351,1623.19,2568.689,1846.302,1851.159,2555.74
306.699,1229.184,204.847,1070.148,1622.881,2543.272,1852.107,1856.886,2712.955
292.759,1389.099,217.389,1146.986,1704.164,2653.898,1903.9,1908.977,2980.748
283.728,1341.414,203.236,1122.28,1758.129,2716.164,1928.724,1933.768,2939.808
297.23,1184.323,206.369,1018.901,1798.97,2661.352,1792.541,1796.929,2566.394
401.937,1163.822,260.171,1036.452,1858.684,2753.945,1905.951,1910.102,2437.577
647.916,1436.683,357.912,1103.721,1800.855,2671.861,1796.792,1800.883,2409.674
877.209,1797.721,475.982,1248.307,1856.998,2719.096,1921.067,1925.381,2559.25
1021.268,2043.664,537.754,1314.782,1922.792,2787.063,1840.143,1844.464,2668.016
903.382,1768.798,475.928,1179.044,1737.171,2546.828,1751.841,1755.798,2382.146
776.563,1598.684,419.646,1160.68,1834.231,2718.27,1874.552,1878.759,2451.401
611.751,1356.808,345.587,1052.211,1749.889,2600.92,1833.997,1838.055,2306.77
414.974,1144.439,251.918,1014.124,1739.557,2649.251,1891.008,1895.385,2405.742
323.69,1136.537,206.485,1037.381,1748.601,2706.413,1832.747,1837.282,2606.091
